article_id,clean_text,polarity,subjectivity
1,"iphone fold could redefine battery life and shake up button design - cnet. iphone fold could redefine battery life and shake up button design&nbsp;&nbsp;cnetapple is working on a clamshell version of its first foldable iphone, report says&nbsp;&nbsp;cnetnew iphone fold specs revealed, including design, cameras, more&nbsp;&nbsp;9to5macfresh leak offers new details on the upcoming folding iphone&nbsp;&nbsp;macworldapple is working on an 'iphone flip,' report claims&nbsp;&nbsp;mashable",0.1621212121212121,0.2626262626262626
2,"samsung’s galaxy s26 ultra will only include black or white s pens, leaked image shows - 9to5google. samsung’s galaxy s26 ultra will only include black or white s pens, leaked image shows&nbsp;&nbsp;9to5googlesamsung galaxy s26 ultra release date: new leaks, disappointing news&nbsp;&nbsp;forbesgalaxy s26 is likely skipping built-in qi2 magnets in latest leak&nbsp;&nbsp;9to5googlesamsung galaxy s26 price leak will both reassure and disappoint android users&nbsp;&nbsp;bgr.comsamsung galaxy s26 ultra leak reveals its big camera overhaul – here are 5 changes to expect&nbsp;&nbsp;techradar",-0.026997245179063354,0.5473829201101928
3,"google home gets the upgrade we've all been waiting for - android police. google home gets the upgrade we've all been waiting for&nbsp;&nbsp;android policegoogle home finally adds support for buttons&nbsp;&nbsp;the vergegoogle reduces nest cam ‘video not available’ error with home app 4.8&nbsp;&nbsp;9to5googlethe new google home update makes automation significantly more powerful&nbsp;&nbsp;how-to geekgoogle home just leveled up, and i’m convinced this is what users needed all along&nbsp;&nbsp;android central",0.08727272727272727,0.5209090909090909
4,"legion y700: lenovo officially confirms next-gen compact android gaming tablet - notebookcheck. legion y700: lenovo officially confirms next-gen compact android gaming tablet&nbsp;&nbsp;notebookchecklenovo teases ai tablet xiaoxin pro 13 with stylus support, launching in march&nbsp;&nbsp;gizmochinalenovo confirms a new compact gaming tablet is coming your way&nbsp;&nbsp;digital trendslenovo confirms next-gen legion y700 compact gaming tablet release&nbsp;&nbsp;filmogazlegion y700 gen 5: new gaming tablet teased in official lenovo promotional video&nbsp;&nbsp;notebookcheck",0.13636363636363635,0.45454545454545453
5,"aluminium: why google’s android for pc launch may be messy and controversial - the verge. aluminium: why google’s android for pc launch may be messy and controversial&nbsp;&nbsp;the vergewill your chromebook get the new ‘aluminium’ update? here is what google says&nbsp;&nbsp;chrome unboxedandroid’s full desktop interface leaks: new status bar, chrome extensions, more [video]&nbsp;&nbsp;9to5googleleak shows google’s new aluminium os in action for the first time&nbsp;&nbsp;pcworldgoogle releases ‘desktop camera’ app that’s seemingly for android pcs&nbsp;&nbsp;9to5google",0.17590909090909093,0.45969696969696966
6,"android 16 qpr3: pixel adds adaptive connectivity auto-switch, battery settings - 9to5google. android 16 qpr3: pixel adds adaptive connectivity auto-switch, battery settings&nbsp;&nbsp;9to5googleunlock seamless experience with pixel's new adaptive connectivity features&nbsp;&nbsp;wadenanews.caandroid 16 test build adds smarter connection switching for your pixel&nbsp;&nbsp;digital trendsandroid 16 qpr3 simplifies adaptive connectivity, clearly showing how it can boost battery life and connection stability&nbsp;&nbsp;android policegoogle is finally fixing one of pixel’s biggest connectivity headaches in android 16&nbsp;&nbsp;android authority",0.08409090909090909,0.484469696969697
7,"coming to xbox game pass: high on life 2, madden nfl 26, avatar: frontiers of pandora, and more - xbox wire. coming to xbox game pass: high on life 2, madden nfl 26, avatar: frontiers of pandora, and more&nbsp;&nbsp;xbox wiremicrosoft announces xbox game pass february 2026 wave 1 lineup&nbsp;&nbsp;ignxbox game pass games coming in february 2026: full list, release dates, platforms, and what to expect&nbsp;&nbsp;techloyxbox's february lineup: dragon quest vii, carmageddon, and more&nbsp;&nbsp;analytics insightthese 10 games are coming to xbox game pass, including three major additions (february 5-17)&nbsp;&nbsp;pure xbox",-0.07675000000000001,0.46299999999999997
8,ps5 rpg remake of classic ps1 game gets great reviews - playstation lifestyle. ps5 rpg remake of classic ps1 game gets great reviews&nbsp;&nbsp;playstation lifestyledragon quest vii reimagined review&nbsp;&nbsp;igndragon quest vii reimagined review - smooth sailing&nbsp;&nbsp;game informerdragon quest gets another great remake that’s perfect for newcomers&nbsp;&nbsp;the vergedragon quest vii reimagined (switch 2) review&nbsp;&nbsp;nintendo world report,0.37037037037037035,0.5425925925925925
9,"adobe firefly offers unlimited image and video generations, third-party models included - 9to5mac. adobe firefly offers unlimited image and video generations, third-party models included&nbsp;&nbsp;9to5machow to get unlimited ai video and image generations in adobe firefly for free&nbsp;&nbsp;zdnetelevating in-house brand content with generative ai by pvc news staff, for adobe - provideo coalition&nbsp;&nbsp;provideo coalitionadobe’s firefly gambit: unlimited ai generation reshapes creative software economics&nbsp;&nbsp;webpronewsmarch 16 cutoff: firefly opens unlimited ai images and videos&nbsp;&nbsp;small business trends",0.2333333333333333,0.3333333333333333
10,"holy crap: look at this v12 - motor1.com. holy crap: look at this v12&nbsp;&nbsp;motor1.comdoes the de tomaso p900 have the craziest engine you've ever seen? probably&nbsp;&nbsp;car and driverde tomaso’s new 12,000-rpm v12 looks like it came straight out of an alien movie&nbsp;&nbsp;autobloga closer look at the track-only de tomaso p900 hypercar's 12-1 exhaust&nbsp;&nbsp;dupont registry newsthis hypercar packs the wildest looking v12 engine ever&nbsp;&nbsp;newsbytes",-0.3027272727272728,0.6409090909090909
